"","YEAR","ROUND","LSEED","LTEAM","HSEED","HTEAM","confH","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"1",2021,2,9,"Missouri",1,"Gonzaga","WCC","SEC",1,10,14.1,-5.2,0.1192,10.1,-1,-2.8,1.9,1.8,-5.8,-0.799999999999997,-10.5,11.4,-1.5,4.5,-0.200000000000003,6,6.4
"2",2021,2,13,"Ohio",5,"Creighton","BE","MAC",6,4,2.5,-6.40000000000001,0.131,-0.0999999999999943,-4.2,-1.2,-2.2,-3.9,0.800000000000001,-2.7,-4.5,-0.100000000000001,-5.5,0.100000000000001,-1.6,-0.200000000000003,5.5
"3",2021,2,6,"USC",3,"Kansas","B12","P12",-2,-2,-3.5,-2,-0.00880000000000003,-2.3,1.6,-0.400000000000002,2.6,-4.8,-0.400000000000002,-7,1.7,-2.8,3.7,-1,-1.6,1,0.6
"4",2021,2,7,"Oregon",2,"Iowa","B10","P12",3,1,10.4,-2.5,0.1141,0.200000000000003,-1.8,-3.5,-4,2.4,1.4,5.2,-4.5,-0.5,-4.1,0.700000000000003,1.2,2.8,2.6
"5",2021,2,9,"Saint Bonaventure",1,"Michigan","B10","A10",4,4,7,-1.80000000000001,0.0657,4.4,-0.600000000000001,-0.599999999999998,-4.4,-4.2,-3.6,1.1,-3.8,4,-2.8,3.3,2.9,2.2,5.1
"6",2021,2,5,"Colorado",4,"Florida State","ACC","P12",-8,-6,4.09999999999999,0.5,0.026,2.4,-1.2,3.3,-0.199999999999999,4.5,5.8,2.8,8.3,1.8,-2.3,2.3,0,4.10000000000001,-0.1
"7",2021,2,14,"Abilene Christian",11,"UCLA","P12","Slnd",3,-6,10.5,2.8,0.1373,-0.899999999999999,5.3,-2.8,-9.1,-0.200000000000003,-3.5,-1.4,-14.5,-0.199999999999996,3.1,-1,6,-5.3,2.1
"8",2021,2,10,"Maryland",2,"Alabama","SEC","B10",2,8,1,-4.90000000000001,0.0608,-1.3,-3.2,1.8,4.2,10.6,5,-4,6.3,-2.7,0,0.200000000000003,-5.5,8.5,6.6
"9",2021,2,9,"Wisconsin",1,"Baylor","B12","B10",-5,5,11.9,4.09999999999999,0.0385,8.1,1.2,4.1,6.8,13.8,5.8,0.100000000000001,3.2,7.8,1,5.8,1,3.8,4.4
"10",2021,2,13,"North Texas",5,"Villanova","BE","CUSA",-3,-1,13.5,2.10000000000001,0.1498,-1.2,6.09999999999999,-6.9,-2.4,0,-2.1,2.8,-5.9,-0.100000000000001,6.2,-2.09999999999999,3.8,1.8,5.7
"11",2021,2,6,"Texas Tech",3,"Arkansas","SEC","B12",1,5,-1.89999999999999,-1,-0.00599999999999989,1.8,-0.299999999999997,1.2,-3.5,-2.1,-3.5,-6.59999999999999,-7.1,3.2,2.1,-0.800000000000004,-2.5,7.39999999999999,3.7
"12",2021,2,15,"Oral Roberts",7,"Florida","SEC","Sum",0,-2,3.59999999999999,-13.7,0.3767,-1.1,-2.9,5,2.3,7.5,-1.5,6,1.7,2.2,-0.600000000000001,-3.09999999999999,-5,-2.80000000000001,6.5
"13",2021,2,8,"Loyola Chicago",1,"Illinois","B10","MVC",3,-1,9.2,2.10000000000001,0.0403,-0.699999999999996,-0.100000000000001,-0.300000000000001,-5.5,7,1.2,8.5,8.1,-2.7,-0.100000000000001,1.9,0.200000000000003,6.8,7.2
"14",2021,2,12,"Oregon State",4,"Oklahoma State","B12","P12",0,3,0.799999999999997,-7.3,0.1461,3.4,-3.2,4.2,0.800000000000001,2.1,0.800000000000001,2.4,-7.7,5.9,-5.6,-0.800000000000004,0.300000000000001,6.5,6.2
"15",2021,2,11,"Syracuse",3,"West Virginia","B12","ACC",2,2,3.10000000000001,-2.3,0.0644,-2,1.7,1,-0.100000000000001,5.5,-2.2,11.3,3.4,-4.5,2,2,0.699999999999996,0.199999999999989,2.5
"16",2021,2,10,"Rutgers",2,"Houston","Amer","B10",0,9,13.9,-1,0.1156,1.09999999999999,-4.8,-0.0999999999999979,2.7,12,-1.1,3,9.2,-2,-4.4,4.4,-3.6,-2.8,2.1
