,YEAR,ROUND,HSEED,HTEAM,fav_prob,upset_prob,LSEED,LTEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB
1,2023,1,1,Houston,86.38%,0.136176872,1,Alabama,0,2,1.2,0.5,0.0021,0,1,-3.7,6,3.3,-0.2,-8.2,3,-1.4,1.9,0.7,-0.3,-9.4,-2.2
2,2023,1,1,Houston,78.64%,0.213612087,1,Purdue,0,2,-1.3,-4.4,0.02,0.5,-4.7,-1.7,6.6,-1.2,4.1,-8.7,16.5,-0.9,-4.3,1.9,-3.6,-0.8,-0.8
3,2023,1,1,Houston,80.65%,0.19354483,1,Kansas,0,4,4.5,-2.5,0.0424,0.3,-4.6,-2.2,1.8,8.7,-0.9,-1.3,4.6,0.3,-4.1,0.1,-3.4,-5.8,-2.1
4,2023,1,1,Houston,61.55%,0.384534484,2,UCLA,0,2,4.6,1.4,0.0123,1.8,-4.3,0,-1.6,3.4,-0.2,1.4,8.2,2.8,-3.7,-0.2,-3.3,-3,-0.1
5,2023,1,1,Houston,77.21%,0.227911197,2,Texas,0,5,2.3,-2.4,0.0274,0,-5.3,-1.2,-0.8,8.8,-2,-3,1.3,-0.6,-4.1,0.6,-4.9,-5.5,0.4
6,2023,1,1,Houston,83.52%,0.164829386,2,Arizona,0,3,-2.3,-6.6,0.0313,-4.1,-4.7,-3.1,5.1,6,1.2,-8,9.8,-3.4,-2.8,-3.7,-5,-9.1,0.9
7,2023,1,1,Houston,58.15%,0.418475632,2,Marquette,0,3,-0.8,-7.2,0.0468,-3.3,-8.6,0.1,-0.8,10.6,-4.7,1.4,6.8,-5.6,-6.9,-0.3,-7.4,-5.3,0.9
8,2023,1,1,Houston,80.09%,0.199135318,3,Gonzaga,1,3,-7,-9.8,0.0262,-5.8,-9.2,0.7,3.2,6,1.4,-5.7,9.1,-5.8,-8.1,-3.9,-7.2,-6.7,1.3
9,2023,1,1,Houston,91.91%,0.080862753,3,Baylor,2,9,-4.9,-10.9,0.0498,-0.4,-8.9,-2.8,2.1,2.4,-3.7,-8.7,4.4,2.4,-10.2,-2.7,-4.4,-3.7,2.7
10,2023,1,1,Houston,84.66%,0.153393559,3,Xavier,0,6,-1,-9.8,0.0725,-2.9,-7.9,-2.2,5.5,5.3,2,-2.3,8.7,-0.8,-5.6,-5,-8.1,-7.1,3.3
11,2023,1,1,Houston,95.10%,0.048994796,3,Kansas State,2,8,6.6,-3.8,0.0773,1.2,-5,-4.7,1.3,6,-1.8,-8.5,-0.9,1.4,-5.7,0.5,-2.3,-6.7,3.7
12,2023,1,1,Houston,85.16%,0.148371849,4,Tennessee,1,8,5.8,1.7,0.017,2.4,0.1,-2.8,-0.2,0.3,0.5,-2.4,0.9,2.2,-1.5,1.6,1.6,-2.3,5.3
13,2023,1,1,Houston,84.81%,0.151936474,4,Connecticut,1,6,-1.6,-4.2,0.0172,-0.8,-3,-3.6,2.6,-2.1,1.2,-2.9,-2.9,-0.2,-2.7,-1.2,-2.2,-3.7,3.4
14,2023,1,1,Houston,92.42%,0.075841386,4,Virginia,2,6,7.7,-4.7,0.1023,1.4,-5.8,1.6,2.3,11.6,2.4,-6,9.7,2.8,-3.4,-0.8,-6.2,1.9,4.4
15,2023,1,1,Houston,92.10%,0.079036606,4,Indiana,1,9,4.6,-7.5,0.1044,-1.1,-4.8,-1.6,5.7,9.1,-0.5,-1.6,5.2,0,-2.6,-2.5,-5.4,-4.8,5.1
16,2023,1,1,Houston,86.73%,0.132707032,5,Saint Mary's,1,5,5,-0.7,0.0307,0.2,-4.2,-1.1,3,4,5.6,-2.7,5.5,2.2,-2.5,-2.2,-5,1.2,4.5
17,2023,1,1,Houston,89.20%,0.108044472,5,San Diego State,1,4,5.2,-0.7,0.0319,2.6,-5,-2.3,2.4,5.4,1.6,-5.8,6.4,3.8,-6.8,0.1,-1.4,-2.8,1.9
