YEAR,ROUND,HSEED,HTEAM,LSEED,LTEAM
2023,1,1,Houston,1,Alabama
2023,1,1,Houston,1,Purdue
2023,1,1,Houston,1,Kansas
2023,1,1,Houston,2,UCLA
2023,1,1,Houston,2,Texas
2023,1,1,Houston,2,Arizona
2023,1,1,Houston,2,Marquette
2023,1,1,Houston,3,Gonzaga
2023,1,1,Houston,3,Baylor
2023,1,1,Houston,3,Xavier
2023,1,1,Houston,3,Kansas State
2023,1,1,Houston,4,Tennessee
2023,1,1,Houston,4,Connecticut
2023,1,1,Houston,4,Virginia
2023,1,1,Houston,4,Indiana
2023,1,1,Houston,5,Saint Mary's
2023,1,1,Houston,5,San Diego State
2023,1,1,Houston,5,Duke
2023,1,1,Houston,5,Miami FL
2023,1,1,Houston,6,Creighton
2023,1,1,Houston,6,Iowa State
2023,1,1,Houston,6,TCU
2023,1,1,Houston,6,Kentucky
2023,1,1,Houston,7,Texas A&M
2023,1,1,Houston,7,Michigan State
2023,1,1,Houston,7,Northwestern
2023,1,1,Houston,7,Missouri
2023,1,1,Houston,8,Memphis
2023,1,1,Houston,8,Arkansas
2023,1,1,Houston,8,Maryland
2023,1,1,Houston,8,Iowa
2023,1,1,Houston,9,West Virginia
2023,1,1,Houston,9,Auburn
2023,1,1,Houston,9,Florida Atlantic
2023,1,1,Houston,9,Illinois
2023,1,1,Houston,10,Utah State
2023,1,1,Houston,10,Boise State
2023,1,1,Houston,10,USC
2023,1,1,Houston,10,Penn State
2023,1,1,Houston,11,North Carolina State
2023,1,1,Houston,11,Mississippi State
2023,1,1,Houston,11,Providence
2023,1,1,Houston,11,Nevada
2023,1,1,Houston,11,Arizona State
2023,1,1,Houston,11,Pittsburgh
2023,1,1,Houston,12,Drake
2023,1,1,Houston,12,VCU
2023,1,1,Houston,12,Oral Roberts
2023,1,1,Houston,12,College of Charleston
2023,1,1,Houston,13,Iona
2023,1,1,Houston,13,Kent State
2023,1,1,Houston,13,Louisiana Lafayette
2023,1,1,Houston,13,Furman
2023,1,1,Houston,14,Montana State
2023,1,1,Houston,14,Kennesaw State
2023,1,1,Houston,14,Grand Canyon
2023,1,1,Houston,14,UC Santa Barbara
2023,1,1,Houston,15,Vermont
2023,1,1,Houston,15,Colgate
2023,1,1,Houston,15,Princeton
2023,1,1,Houston,15,UNC Asheville
2023,1,1,Houston,16,Northern Kentucky
2023,1,1,Houston,16,Texas A&M Corpus Chris
2023,1,1,Houston,16,Howard
2023,1,1,Houston,16,Southeast Missouri State
2023,1,1,Houston,16,Texas Southern
2023,1,1,Houston,16,Fairleigh Dickinson
2023,1,1,Alabama,1,Purdue
2023,1,1,Alabama,1,Kansas
2023,1,1,Alabama,2,UCLA
2023,1,1,Alabama,2,Texas
2023,1,1,Alabama,2,Arizona
2023,1,1,Alabama,2,Marquette
2023,1,1,Alabama,3,Gonzaga
2023,1,1,Alabama,3,Baylor
2023,1,1,Alabama,3,Xavier
2023,1,1,Alabama,3,Kansas State
2023,1,1,Alabama,4,Tennessee
2023,1,1,Alabama,4,Connecticut
2023,1,1,Alabama,4,Virginia
2023,1,1,Alabama,4,Indiana
2023,1,1,Alabama,5,Saint Mary's
2023,1,1,Alabama,5,San Diego State
2023,1,1,Alabama,5,Duke
2023,1,1,Alabama,5,Miami FL
2023,1,1,Alabama,6,Creighton
2023,1,1,Alabama,6,Iowa State
2023,1,1,Alabama,6,TCU
2023,1,1,Alabama,6,Kentucky
2023,1,1,Alabama,7,Texas A&M
2023,1,1,Alabama,7,Michigan State
2023,1,1,Alabama,7,Northwestern
2023,1,1,Alabama,7,Missouri
2023,1,1,Alabama,8,Memphis
2023,1,1,Alabama,8,Arkansas
2023,1,1,Alabama,8,Maryland
2023,1,1,Alabama,8,Iowa
2023,1,1,Alabama,9,West Virginia
2023,1,1,Alabama,9,Auburn
2023,1,1,Alabama,9,Florida Atlantic
2023,1,1,Alabama,9,Illinois
2023,1,1,Alabama,10,Utah State
2023,1,1,Alabama,10,Boise State
2023,1,1,Alabama,10,USC
2023,1,1,Alabama,10,Penn State
2023,1,1,Alabama,11,North Carolina State
2023,1,1,Alabama,11,Mississippi State
2023,1,1,Alabama,11,Providence
2023,1,1,Alabama,11,Nevada
2023,1,1,Alabama,11,Arizona State
2023,1,1,Alabama,11,Pittsburgh
2023,1,1,Alabama,12,Drake
2023,1,1,Alabama,12,VCU
2023,1,1,Alabama,12,Oral Roberts
2023,1,1,Alabama,12,College of Charleston
2023,1,1,Alabama,13,Iona
2023,1,1,Alabama,13,Kent State
2023,1,1,Alabama,13,Louisiana Lafayette
2023,1,1,Alabama,13,Furman
2023,1,1,Alabama,14,Montana State
2023,1,1,Alabama,14,Kennesaw State
2023,1,1,Alabama,14,Grand Canyon
2023,1,1,Alabama,14,UC Santa Barbara
2023,1,1,Alabama,15,Vermont
2023,1,1,Alabama,15,Colgate
2023,1,1,Alabama,15,Princeton
2023,1,1,Alabama,15,UNC Asheville
2023,1,1,Alabama,16,Northern Kentucky
2023,1,1,Alabama,16,Texas A&M Corpus Chris
2023,1,1,Alabama,16,Howard
2023,1,1,Alabama,16,Southeast Missouri State
2023,1,1,Alabama,16,Texas Southern
2023,1,1,Alabama,16,Fairleigh Dickinson
2023,1,1,Purdue,1,Kansas
2023,1,1,Purdue,2,UCLA
2023,1,1,Purdue,2,Texas
2023,1,1,Purdue,2,Arizona
2023,1,1,Purdue,2,Marquette
2023,1,1,Purdue,3,Gonzaga
2023,1,1,Purdue,3,Baylor
2023,1,1,Purdue,3,Xavier
2023,1,1,Purdue,3,Kansas State
2023,1,1,Purdue,4,Tennessee
2023,1,1,Purdue,4,Connecticut
2023,1,1,Purdue,4,Virginia
2023,1,1,Purdue,4,Indiana
2023,1,1,Purdue,5,Saint Mary's
2023,1,1,Purdue,5,San Diego State
2023,1,1,Purdue,5,Duke
2023,1,1,Purdue,5,Miami FL
2023,1,1,Purdue,6,Creighton
2023,1,1,Purdue,6,Iowa State
2023,1,1,Purdue,6,TCU
2023,1,1,Purdue,6,Kentucky
2023,1,1,Purdue,7,Texas A&M
2023,1,1,Purdue,7,Michigan State
2023,1,1,Purdue,7,Northwestern
2023,1,1,Purdue,7,Missouri
2023,1,1,Purdue,8,Memphis
2023,1,1,Purdue,8,Arkansas
2023,1,1,Purdue,8,Maryland
2023,1,1,Purdue,8,Iowa
2023,1,1,Purdue,9,West Virginia
2023,1,1,Purdue,9,Auburn
2023,1,1,Purdue,9,Florida Atlantic
2023,1,1,Purdue,9,Illinois
2023,1,1,Purdue,10,Utah State
2023,1,1,Purdue,10,Boise State
2023,1,1,Purdue,10,USC
2023,1,1,Purdue,10,Penn State
2023,1,1,Purdue,11,North Carolina State
2023,1,1,Purdue,11,Mississippi State
2023,1,1,Purdue,11,Providence
2023,1,1,Purdue,11,Nevada
2023,1,1,Purdue,11,Arizona State
2023,1,1,Purdue,11,Pittsburgh
2023,1,1,Purdue,12,Drake
2023,1,1,Purdue,12,VCU
2023,1,1,Purdue,12,Oral Roberts
2023,1,1,Purdue,12,College of Charleston
2023,1,1,Purdue,13,Iona
