col1,col2
WSEED,0.0
WSEED^2,-0.10709267125554334
sqrt(abs(WSEED)),0.0
log(abs(WSEED)),0.0
LSEED,0.0
LSEED^2,0.0
sqrt(abs(LSEED)),0.0
log(abs(LSEED)),2.9082999015611506
G,0.0
G^2,0.0
sqrt(abs(G)),0.0
log(abs(G)),0.0
W,0.0
W^2,0.0
sqrt(abs(W)),0.0
log(abs(W)),0.0
ADJOE,0.47801129200516357
ADJOE^2,0.0
sqrt(abs(ADJOE)),0.0
log(abs(ADJOE)),0.0
ADJDE,-0.5797478173663393
ADJDE^2,0.0
sqrt(abs(ADJDE)),0.0
log(abs(ADJDE)),0.0
EFG_O,0.0
EFG_O^2,0.0
sqrt(abs(EFG_O)),0.0
log(abs(EFG_O)),0.0
EFG_D,0.0
EFG_D^2,0.0
sqrt(abs(EFG_D)),0.0
log(abs(EFG_D)),0.0
TOR,0.0
TOR^2,0.0
sqrt(abs(TOR)),0.0
log(abs(TOR)),0.0
TORD,0.0
TORD^2,0.0
sqrt(abs(TORD)),0.0
log(abs(TORD)),0.0
ORB,0.0
ORB^2,0.0
sqrt(abs(ORB)),0.0
log(abs(ORB)),0.0
DRB,0.0
DRB^2,0.0
sqrt(abs(DRB)),0.0
log(abs(DRB)),0.0
FTR,0.0
FTR^2,0.0
sqrt(abs(FTR)),0.0
log(abs(FTR)),0.0
FTRD,0.0
FTRD^2,0.0
sqrt(abs(FTRD)),0.0
log(abs(FTRD)),0.0
X2P_O,0.0
X2P_O^2,0.0
sqrt(abs(X2P_O)),0.0
log(abs(X2P_O)),0.0
X2P_D,0.0
X2P_D^2,0.0
sqrt(abs(X2P_D)),0.0
log(abs(X2P_D)),0.0
X3P_O,0.0
X3P_O^2,0.0
sqrt(abs(X3P_O)),0.0
log(abs(X3P_O)),0.0
X3P_D,0.0
X3P_D^2,0.0
sqrt(abs(X3P_D)),0.0
log(abs(X3P_D)),0.0
ADJ_T,0.0
ADJ_T^2,0.0
sqrt(abs(ADJ_T)),0.0
log(abs(ADJ_T)),0.0
WAB,0.0
WAB^2,-6.110667527536862e-13
sqrt(abs(WAB)),0.0
log(abs(WAB)),0.0
