"","YEAR","ROUND","WSEED","WTEAM","WSCORE","LSEED","LTEAM","LSCORE","SCORE_DIFF","confW","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"1",2013,1,11,"Minnesota",83,6,"UCLA",63,-20,"B10","P12",1,4,-2.59999999999999,2.3,-0.0575,-0.199999999999996,1.9,-5.8,-0.300000000000001,-12.9,0.799999999999997,-8.5,-12.1,0.100000000000001,4.1,-0.400000000000006,-1.5,5.5,1.2
"2",2013,1,8,"Colorado State",84,9,"Missouri",72,12,"MWC","SEC",-1,1,3.3,3.2,-0.00559999999999994,-2,2.5,-1.7,-1.1,2.7,-5.4,9.1,6.7,-3,3,0.200000000000003,0.899999999999999,-2.90000000000001,0.7
"3",2013,1,12,"Mississippi",57,5,"Wisconsin",46,-11,"SEC","B10",-1,-4,-2.8,-11.3,0.1066,-0.5,-3.4,-0.200000000000001,-3.5,-1.5,-4.9,-9.1,-5.4,-1.4,-3.40000000000001,0.600000000000001,-2.4,-9.00000000000001,3
"4",2013,1,4,"Michigan",71,13,"South Dakota State",56,15,"B10","Sum",6,8,11.8,-10,0.2949,1.3,-3.2,-1.8,1.6,3.6,3.3,-4.6,-1.7,3,-2.2,-1,-3.2,0.799999999999997,9.4
"5",2013,1,6,"Butler",68,11,"Bucknell",56,12,"A10","Pat",2,-1,4.5,-0.0999999999999943,0.0688000000000001,1.1,4.2,5.1,3.3,6.6,2,2.7,6.7,1.90000000000001,4.2,-1.5,2.7,1.3,3.7
"6",2013,1,6,"Memphis",54,11,"Saint Mary’s",52,2,"CUSA","WCC",2,4,-7.80000000000001,-4.7,-0.0238,-1.3,-1.6,2.4,4.2,-1.3,6.1,0.200000000000003,-2,-1.2,-0.200000000000003,-0.0999999999999943,-3.7,4.5,2
"7",2013,1,10,"Iowa State",76,7,"Notre Dame",58,-18,"B12","BE",0,2,-4.3,-2.89999999999999,-0.00800000000000001,-1.59999999999999,-1.2,-0.899999999999999,-2.6,-0.200000000000003,1,-1,-8.1,-1.3,-2.9,-0.399999999999999,1.4,-7.89999999999999,3.2
"8",2013,1,8,"North Carolina",78,9,"Villanova",71,7,"ACC","BE",2,5,6.3,2.5,0.0395,2,0.700000000000003,-5.7,-0.5,1.5,2.1,-22.4,-13.8,0.299999999999997,3.9,4,-2.9,3.7,2.2
"9",2013,1,3,"Michigan State",65,14,"Valparaiso",54,11,"B10","Horz",2,1,3.60000000000001,-10.1,0.1878,-5.1,-1.7,-1,-0.300000000000001,4.9,-0.599999999999998,-5.1,-4.4,-5.3,-0.200000000000003,-3,-3.7,-1.19999999999999,7.5
"10",2013,1,1,"Indiana",83,16,"James Madison",62,21,"B10","CAA",0,8,22.5,-9.7,0.4956,7.1,-4.7,2.1,-0.200000000000003,9.4,0.299999999999997,9,-12.2,5.8,-3.7,6.7,-4.3,3.59999999999999,16.7
