"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"1",2023,1,1,"Houston",1,"Alabama",0,2,1.2,0.5,0.00209999999999999,0,1,-3.7,6,3.3,-0.200000000000003,-8.2,3,-1.4,1.9,0.700000000000003,-0.300000000000001,-9.40000000000001,-2.2
"2",2023,1,1,"Houston",1,"Purdue",0,2,-1.3,-4.39999999999999,0.02,0.5,-4.7,-1.7,6.6,-1.2,4.1,-8.7,16.5,-0.899999999999999,-4.3,1.9,-3.6,-0.799999999999997,-0.799999999999999
"3",2023,1,1,"Houston",1,"Kansas",0,4,4.5,-2.5,0.0424,0.300000000000004,-4.6,-2.2,1.8,8.7,-0.900000000000002,-1.3,4.6,0.300000000000004,-4.1,0.100000000000001,-3.4,-5.8,-2.1
"4",2023,1,1,"Houston",2,"UCLA",0,2,4.60000000000001,1.40000000000001,0.0123,1.8,-4.3,0,-1.6,3.4,-0.200000000000003,1.4,8.2,2.8,-3.7,-0.200000000000003,-3.3,-3,-0.0999999999999996
"5",2023,1,1,"Houston",2,"Texas",0,5,2.3,-2.39999999999999,0.0274,0,-5.3,-1.2,-0.800000000000001,8.8,-2,-3,1.3,-0.599999999999994,-4.1,0.600000000000001,-4.9,-5.5,0.4
"6",2023,1,1,"Houston",2,"Arizona",0,3,-2.3,-6.59999999999999,0.0313,-4.09999999999999,-4.7,-3.1,5.1,6,1.2,-8,9.8,-3.4,-2.8,-3.7,-5,-9.10000000000001,0.9
"7",2023,1,1,"Houston",2,"Marquette",0,3,-0.799999999999997,-7.19999999999999,0.0468,-3.3,-8.6,0.100000000000001,-0.800000000000001,10.6,-4.7,1.4,6.8,-5.59999999999999,-6.9,-0.299999999999997,-7.4,-5.3,0.9
"8",2023,1,1,"Houston",3,"Gonzaga",1,3,-7,-9.8,0.0262,-5.8,-9.2,0.700000000000001,3.2,6,1.4,-5.7,9.1,-5.8,-8.1,-3.9,-7.2,-6.7,1.3
"9",2023,1,1,"Houston",3,"Baylor",2,9,-4.89999999999999,-10.9,0.0498,-0.399999999999999,-8.9,-2.8,2.1,2.4,-3.7,-8.7,4.4,2.40000000000001,-10.2,-2.7,-4.4,-3.7,2.7
"10",2023,1,1,"Houston",3,"Xavier",0,6,-1,-9.8,0.0725,-2.9,-7.9,-2.2,5.5,5.3,2,-2.3,8.7,-0.799999999999997,-5.6,-5,-8.1,-7.10000000000001,3.3
"11",2023,1,1,"Houston",3,"Kansas State",2,8,6.60000000000001,-3.8,0.0773,1.2,-5,-4.7,1.3,6,-1.8,-8.5,-0.900000000000006,1.40000000000001,-5.7,0.5,-2.3,-6.7,3.7
"12",2023,1,1,"Houston",4,"Tennessee",1,8,5.8,1.7,0.017,2.40000000000001,0.100000000000001,-2.8,-0.199999999999999,0.300000000000004,0.5,-2.4,0.899999999999999,2.2,-1.5,1.6,1.6,-2.3,5.3
"13",2023,1,1,"Houston",4,"Connecticut",1,6,-1.59999999999999,-4.19999999999999,0.0172,-0.799999999999997,-3,-3.6,2.6,-2.1,1.2,-2.9,-2.90000000000001,-0.199999999999996,-2.7,-1.2,-2.2,-3.7,3.4
"14",2023,1,1,"Houston",4,"Virginia",2,6,7.7,-4.69999999999999,0.1023,1.40000000000001,-5.8,1.6,2.3,11.6,2.4,-6,9.7,2.8,-3.4,-0.799999999999997,-6.2,1.9,4.4
"15",2023,1,1,"Houston",4,"Indiana",1,9,4.60000000000001,-7.5,0.1044,-1.09999999999999,-4.8,-1.6,5.7,9.1,-0.5,-1.6,5.2,0,-2.6,-2.5,-5.4,-4.8,5.1
"16",2023,1,1,"Houston",5,"Saint Mary's",1,5,5,-0.699999999999989,0.0307,0.200000000000003,-4.2,-1.1,3,4,5.6,-2.7,5.5,2.2,-2.5,-2.2,-5,1.2,4.5
