"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","X3PR","X3PRD","ADJ_T","WAB"
"1",2024,1,1,"Connecticut",1,"Purdue",1,2,0.899999999999991,-1.10000000000001,0.00679999999999992,1.1,-2.6,-1.6,2.2,-0.899999999999999,2.1,-9.5,9.5,5.3,-4.4,-4.09999999999999,0.5,5.9,-4,-3,0.300000000000001
"2",2024,1,1,"Connecticut",1,"Houston",0,1,7.89999999999999,8.09999999999999,-0.00730000000000008,7.4,1.1,1.2,-8.5,-0.399999999999999,-3.4,3.4,-6.5,10.1,0.300000000000004,2,1.9,4.3,-7.7,1.3,0.700000000000001
"3",2024,1,1,"Connecticut",1,"North Carolina",0,4,10.3,0.399999999999991,0.0407,5.8,-1.3,0.5,1.3,3.7,3.3,-3.5,4.2,8.2,-2.3,1.3,0.5,5,-2.9,-5.80000000000001,4.7
"4",2024,1,1,"Connecticut",2,"Iowa State",0,4,13.5,7.09999999999999,0.0128999999999999,5.2,-2,-0.799999999999999,-9.5,4.9,-2.6,-2.8,-2.7,6.8,-3.2,1.8,0.399999999999999,8.9,-11.8,-3,4.4
"5",2024,1,1,"Connecticut",2,"Marquette",0,6,8.19999999999999,-1,0.0384,2,-4.6,0.6,-4.9,10.5,-4,7.7,4.3,2.5,-5.5,0.900000000000006,-1.7,0.399999999999999,-9.9,-4.5,4.8
"6",2024,1,1,"Connecticut",2,"Tennessee",2,7,11.5,2.39999999999999,0.0329999999999999,5.6,-0.299999999999997,0.300000000000001,-2.7,4.1,-1.8,-1,-3.3,6.9,-0.599999999999994,2.5,0.5,-0.399999999999999,-8.2,-4.60000000000001,5.5
"7",2024,1,1,"Connecticut",2,"Arizona",1,6,5.59999999999999,0,0.0186,2.1,-3.6,-1.2,-1.9,0.200000000000003,3.7,-3.40000000000001,6.8,3.9,-4.09999999999999,-0.399999999999999,-1.5,8.3,-5,-7.40000000000001,6.4
"8",2024,1,1,"Connecticut",3,"Illinois",0,5,1.8,-7.5,0.0490999999999999,3.3,-2.9,-0.199999999999999,3.9,0.299999999999997,0.699999999999999,-4.5,5.4,3.8,-2.9,1.8,-2.4,2.6,5.3,-5.30000000000001,5.3
"9",2024,1,1,"Connecticut",3,"Kentucky",2,8,4.09999999999999,-8.60000000000001,0.0778,-0.299999999999997,-4.4,0.700000000000001,0.199999999999999,7.6,-3.4,2.9,-0.899999999999999,3.8,-6.09999999999999,-4.5,-0.700000000000003,3.6,-6.7,-7.90000000000001,8.4
"10",2024,1,1,"Connecticut",3,"Creighton",2,8,6.5,-2.90000000000001,0.0423,-0.399999999999999,-1.3,-0.4,5,10.6,2.2,8.8,16.3,-2.1,-2,0.600000000000001,-0.300000000000004,-8,6,-2.30000000000001,6.9
"11",2024,1,1,"Connecticut",3,"Baylor",2,8,4.89999999999999,-6.30000000000001,0.0609,1.5,-6.2,-2.8,-0.900000000000002,1.4,-0.300000000000001,-7.2,1.6,5.1,-8.2,-2.7,-1.6,2.6,-2.3,-1.10000000000001,6.2
"12",2024,1,1,"Connecticut",4,"Auburn",0,4,6.39999999999999,1.5,0.0138999999999999,3,1.7,0,-2,3.6,-3.5,-4.90000000000001,-8.5,3.6,0.900000000000006,1.5,2.1,3.4,-0.0999999999999943,-5.2,5.8
"13",2024,1,1,"Connecticut",4,"Duke",2,7,6.3,-3.2,0.0439999999999999,1.9,-3.9,0.6,-0.699999999999999,4.7,0.900000000000002,-0.5,4.9,4.1,-5.4,-1,-0.700000000000003,3.5,-2.3,-2.30000000000001,8
"14",2024,1,1,"Connecticut",4,"Kansas",3,9,13.6,0.899999999999991,0.0600999999999999,3.7,-2.5,-1.5,-0.600000000000001,11.2,0.400000000000002,0.5,4,3.7,-1.59999999999999,3.40000000000001,-1.9,11.2,-7.9,-4.30000000000001,7
"15",2024,1,1,"Connecticut",4,"Alabama",2,10,1.89999999999999,-8.5,0.0586,0.800000000000004,-4.8,-1.1,0.6,1.6,-3.1,-1.90000000000001,-7.1,0.899999999999999,-7.4,0.200000000000003,0,-5.9,-3.5,-7.90000000000001,7.9
"16",2024,1,1,"Connecticut",5,"San Diego State",2,7,15.6,-0.300000000000011,0.0922999999999999,7.3,-2.1,-1.1,-1.8,3.8,-1.2,-4.2,-0.799999999999997,6.9,-4.59999999999999,5.4,1.4,3.1,-7.3,-1.5,8.7
"17",2024,1,1,"Connecticut",5,"Wisconsin",-1,9,7.3,-5.2,0.0693999999999999,4.7,-7.1,0.300000000000001,-0.699999999999999,6,2.3,-0.200000000000003,-0.700000000000003,5.9,-6.7,1.90000000000001,-5.2,5.5,-1.2,-0.400000000000006,8
"18",2024,1,1,"Connecticut",5,"Gonzaga",3,6,5.8,-5,0.0560999999999999,0.399999999999999,-2.2,0.9,-0.300000000000001,3.2,-0.399999999999999,1.8,6.7,0.200000000000003,-1.4,1.2,-2.1,9.5,-3.7,-4.5,8.8
"19",2024,1,1,"Connecticut",5,"Saint Mary's",2,5,11.3,-0.100000000000009,0.0514,4,0,-1.1,-0.5,-2.5,4.4,5,0.299999999999997,5.5,0.100000000000001,1.2,-0.5,4.2,4.2,2.49999999999999,9.9
"20",2024,1,1,"Connecticut",6,"BYU",1,8,6.5,-5.40000000000001,0.0645,2,-2.9,-0.299999999999999,0.199999999999999,3.7,2.1,8,0.399999999999999,0.5,-4.5,1.90000000000001,0.0999999999999979,-9.8,-0.899999999999999,-4.40000000000001,8.4
"21",2024,1,1,"Connecticut",6,"Texas Tech",1,8,9.59999999999999,-4.80000000000001,0.0865999999999999,4.3,-4,-1.6,-0.800000000000001,6.3,-3.5,-1.3,5.9,7,-5.9,0.200000000000003,-0.200000000000003,-0.200000000000003,-5.8,-1.80000000000001,7.9
"22",2024,1,1,"Connecticut",6,"South Carolina",1,5,12.7,-5.30000000000001,0.1292,6.3,-2.9,-0.6,1.3,3.4,-1.2,1.5,1.7,7.4,-3.09999999999999,3.2,-1.7,-0.100000000000001,2,1.59999999999999,6.6
"23",2024,1,1,"Connecticut",6,"Clemson",2,10,10.4,-5.7,0.1065,3.2,-3.6,0,2.6,8.8,1.6,2.7,1.3,4.1,-3.4,1.3,-2.1,0.699999999999996,-7.4,-1.60000000000001,10.4
"24",2024,1,1,"Connecticut",7,"Washington State",1,7,14.3,-3,0.1156,5,-2.2,-1.2,0.299999999999999,3.6,1.9,1.6,-0.200000000000003,5.9,-3.2,2.7,-0.100000000000001,8.9,1.7,-0.300000000000011,9.4
"25",2024,1,1,"Connecticut",7,"Florida",-1,7,7.39999999999999,-5.7,0.0761,5.6,-3.7,-0.9,1.7,-1,-2.1,-5.3,-1.7,6.8,-5.3,2.5,-0.300000000000004,6.4,0.5,-7,8.3
"26",2024,1,1,"Connecticut",7,"Texas",2,11,8.09999999999999,-4.7,0.0706,3.4,-3.9,-1.7,-2.4,6,-3.2,2.9,-2.5,5.1,-3.7,0.600000000000001,-2.9,6,0.800000000000004,-2.60000000000001,10.1
"27",2024,1,1,"Connecticut",7,"Dayton",3,7,9.69999999999999,-7.10000000000001,0.1165,0.5,-2.8,-0.9,0.5,9.6,-2.2,-3.90000000000001,10.7,4.8,-4.5,-3.5,0.199999999999999,-3.6,-7.2,0.599999999999994,8.7
"28",2024,1,1,"Connecticut",8,"Florida Atlantic",1,6,9.8,-9.40000000000001,0.1542,2.1,-4.6,-0.9,-0.300000000000001,2.7,-2.4,-1.5,5,2.5,-5.59999999999999,1.1,-1.7,2.1,-3.09999999999999,-3.30000000000001,10.1
"29",2024,1,1,"Connecticut",8,"Nebraska",1,8,11.4,-2,0.0712999999999999,3.9,-1.2,-1,-0.199999999999999,8.7,-3.2,0.899999999999999,4.8,5.7,-1.5,0.900000000000006,0,-3.6,-8.5,-4.10000000000001,8.9
"30",2024,1,1,"Connecticut",8,"Utah State",3,4,13,-6.80000000000001,0.1568,3,-4.5,-0.799999999999999,-0.199999999999999,8,1.4,-6.7,2.1,1.4,-9.4,4.6,2.9,7.5,-3.5,-3.90000000000001,8
"31",2024,1,1,"Connecticut",8,"Mississippi State",0,10,14.5,-1.30000000000001,0.094,5.4,-2.6,-3.8,-2,1.1,-0.800000000000001,-4.6,0.100000000000001,5.1,-6.5,4.2,2.5,2.7,-7.9,-2.60000000000001,10.5
"32",2024,1,1,"Connecticut",9,"Northwestern",2,10,9.89999999999999,-5.60000000000001,0.0994999999999999,3.9,-6.5,1.6,-2.6,10.8,-1.4,3.4,-6.9,8.8,-6.59999999999999,-2.7,-4,4.1,-3.7,0.899999999999991,9.8
"33",2024,1,1,"Connecticut",9,"Texas A&M",0,11,12.1,-5.30000000000001,0.1213,11.7,-5,0.700000000000001,-0.699999999999999,-5.4,-1.2,-4.90000000000001,1.3,11.5,-5.8,8.3,-2,2.8,-11.7,-1,11.05
"34",2024,1,1,"Connecticut",9,"TCU",1,10,12.6,-3.5,0.1022,5.2,-5.2,-3,-4.6,1,-1.8,-1.8,-3.2,7.3,-7.2,1.1,-0.899999999999999,10.7,-2,-5.30000000000001,10
"35",2024,1,1,"Connecticut",9,"Michigan State",1,12,14.4,0.299999999999997,0.0729,5.6,-2.9,0.200000000000001,-2.5,6.6,-1.9,3.4,-0.100000000000001,8,-3.4,0.800000000000004,-0.899999999999999,10.7,-8.09999999999999,-0.700000000000003,11.09
"36",2024,1,1,"Connecticut",10,"Drake",1,3,12.3,-6.60000000000001,0.1429,2.2,-5.9,1,-1.2,12.3,4.7,0.699999999999996,1.5,3.4,-8.2,0.200000000000003,-1.1,1.3,-6.09999999999999,-3.2,9.6
"37",2024,1,1,"Connecticut",10,"Boise State",4,9,13.1,-4.2,0.1174,5.5,-4.7,-1.6,-0.600000000000001,4,3.7,-2.8,-0.600000000000001,7.3,-8.4,1.90000000000001,1.3,1.1,-3.7,-2,10.4
"38",2024,1,1,"Connecticut",10,"Colorado",0,7,9.89999999999999,-4.40000000000001,0.0845999999999999,1.8,-4.2,-3.2,1,4.1,2.8,-2,4.4,4.9,-6.4,-2.7,0,10.5,-2.09999999999999,-3.10000000000001,9.6
"39",2024,1,1,"Connecticut",10,"Colorado State",2,7,13.3,-4.5,0.1252,2.5,-4.2,0.0999999999999996,-0.699999999999999,12.2,-0.699999999999999,0.699999999999996,0.699999999999999,0.899999999999999,-4.8,3.5,-2.1,2.6,-0.799999999999997,-1.2,9.8
"40",2024,1,1,"Connecticut",10,"Virginia",1,8,22.5,1.59999999999999,0.1565,7.8,-1.1,1.7,-3.1,10.5,-1.3,8.2,6.8,11.7,-2.9,0.400000000000006,1.5,8.2,-6.7,4.59999999999999,10.1
"41",2024,1,1,"Connecticut",10,"Nevada",2,5,12,-4.40000000000001,0.108,3.8,-3.1,-0.0999999999999996,-1.1,9,-0.399999999999999,-12.9,-1.8,5.9,-5.4,0.200000000000003,0.599999999999998,7.3,-7.8,-2.2,8.6
