YEAR,ROUND,HSEED,HTEAM,LSEED,LTEAM
2021,1,15,Cleveland State,2,Houston
2021,1,10,Rutgers,7,Clemson
2021,1,14,Morehead State,3,West Virginia
2021,1,11,Syracuse,6,San Diego State
2021,1,13,Liberty,4,Oklahoma State
2021,1,12,Oregon State,5,Tennessee
2021,1,9,Georgia Tech,8,Loyola Chicago
2021,1,16,Drexel,1,Illinois
2021,1,15,Oral Roberts,2,Ohio State
2021,1,10,Virginia Tech,7,Florida
2021,1,14,Colgate,3,Arkansas
2021,1,11,Utah State,6,Texas Tech
2021,1,13,North Texas,4,Purdue
2021,1,12,Winthrop,5,Villanova
2021,1,9,Wisconsin,8,North Carolina
2021,1,16,Hartford,1,Baylor
2021,1,15,Iona,2,Alabama
2021,1,10,Maryland,7,Connecticut
2021,1,14,Abilene Christian,3,Texas
2021,1,11,UCLA,6,BYU
2021,1,13,UNC Greensboro,4,Florida State
2021,1,12,Georgetown,5,Colorado
2021,1,9,Saint Bonaventure,8,LSU
2021,1,16,Texas Southern,1,Michigan
2021,1,15,Grand Canyon,2,Iowa
2021,1,14,Eastern Washington,3,Kansas
2021,1,11,Drake,6,USC
2021,1,13,Ohio,4,Virginia
2021,1,12,UC Santa Barbara,5,Creighton
2021,1,9,Missouri,8,Oklahoma
2021,1,16,Norfolk State,1,Gonzaga
