"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM"
"1",2021,1,15,"Cleveland State",2,"Houston"
"2",2021,1,10,"Rutgers",7,"Clemson"
"3",2021,1,14,"Morehead State",3,"West Virginia"
"4",2021,1,11,"Syracuse",6,"San Diego State"
"5",2021,1,13,"Liberty",4,"Oklahoma State"
"6",2021,1,12,"Oregon State",5,"Tennessee"
"7",2021,1,9,"Georgia Tech",8,"Loyola Chicago"
"8",2021,1,16,"Drexel",1,"Illinois"
"9",2021,1,15,"Oral Roberts",2,"Ohio State"
"10",2021,1,10,"Virginia Tech",7,"Florida"
"11",2021,1,14,"Colgate",3,"Arkansas"
"12",2021,1,11,"Utah State",6,"Texas Tech"
"13",2021,1,13,"North Texas",4,"Purdue"
"14",2021,1,12,"Winthrop",5,"Villanova"
"15",2021,1,9,"Wisconsin",8,"North Carolina"
"16",2021,1,16,"Hartford",1,"Baylor"
"17",2021,1,15,"Iona",2,"Alabama"
"18",2021,1,10,"Maryland",7,"Connecticut"
"19",2021,1,14,"Abilene Christian",3,"Texas"
"20",2021,1,11,"UCLA",6,"BYU"
"21",2021,1,13,"UNC Greensboro",4,"Florida State"
"22",2021,1,12,"Georgetown",5,"Colorado"
"23",2021,1,9,"Saint Bonaventure",8,"LSU"
"24",2021,1,16,"Texas Southern",1,"Michigan"
"25",2021,1,15,"Grand Canyon",2,"Iowa"
"26",2021,1,14,"Eastern Washington",3,"Kansas"
"27",2021,1,11,"Drake",6,"USC"
"28",2021,1,13,"Ohio",4,"Virginia"
"29",2021,1,12,"UC Santa Barbara",5,"Creighton"
"30",2021,1,9,"Missouri",8,"Oklahoma"
"31",2021,1,16,"Norfolk State",1,"Gonzaga"
