,YEAR,ROUND,LSEED,LTEAM,HSEED,HTEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,SCORE_DIFF,UPSET
1,2022,1,16,Georgia State,1,Gonzaga,4,11,20.1,-10.9,0.4322,14.3,-6.5,-1,-5.7,-3.8,-7.7,-0.5,-10.6,17.8,-3.8,5.6,-7.2,5.6,11.8,21,0
2,2022,1,16,Norfolk State,1,Baylor,5,5,17.6,-11.4,0.5143,1.4,2.7,-1.7,4.4,6.5,1.2,-10.6,-6.4,2.2,3.2,0.1,0.8,0.4,12,36,0
3,2022,1,16,Wright State,1,Arizona,1,11,13.8,-14.5,0.5151,3.9,-6.8,0.1,-0.7,3.2,-1.7,4,-3.2,4.3,-9.7,2.4,-1,3.8,17.2,17,0
4,2022,1,16,Texas Southern,1,Kansas,4,10,23.3,-5.7,0.5019,5.4,2,-3.6,1,-0.4,0.7,0.1,-6.5,5.3,2.7,3.8,0.6,1.4,17.2,27,0
5,2022,1,15,Cal State Fullerton,2,Duke,5,9,18.4,-8.8,0.4765,6.4,-3.8,-3.2,-4.1,2.9,0.5,-7.1,-7.2,7.1,-1.1,3.3,-5.7,1.6,12.2,17,0
6,2022,1,15,Saint Peter's,2,Kentucky,4,8,21.5,-0.2,0.3349,5.5,2.4,-4.2,-3.5,6.3,-3.1,-10.3,-15.9,7.8,3.2,0.1,0.9,1.9,12.5,-6,1
7,2022,1,15,Delaware,2,Villanova,0,5,10.3,-10.2,0.3373,-1.5,-1.8,-2.9,0.3,4.1,-3.2,-4.1,-4.2,-3.9,0.7,0.9,-3.9,-4,12.8,20,0
8,2022,1,15,Jacksonville State,2,Auburn,3,8,8.7,-12.1,0.3683,-3.9,-3.9,-3.3,3.6,4.9,3.1,-0.6,13.7,0.1,-4.8,-6.2,-1.3,4.8,12.6,19,0
9,2022,1,14,Montana State,3,Texas Tech,2,0,6.1,-15.3,0.382,-1.7,-3.1,1.8,5.3,6.6,2.8,-4.4,-4.1,1.9,-3.9,-5.8,-1.5,-0.6,9.4,35,0
10,2022,1,14,Yale,3,Purdue,5,9,22.8,-0.9,0.3942,6.9,0.7,-1,-4.1,9.6,-2.9,3.6,-9.7,5.4,-1.9,6.2,3.1,-3,11.9,22,0
11,2022,1,14,Longwood,3,Tennessee,5,4,4.5,-15.7,0.3569,-1.4,-4.4,-0.2,2.8,-0.8,2.9,-6.3,4.8,0,-7.8,-2.8,0.1,1.5,10.3,32,0
12,2022,1,14,Colgate,3,Wisconsin,-2,2,3.7,-9.8,0.2861,-7.7,0.4,-4.2,0.7,-0.7,-0.8,5.5,3.4,-3.8,1.7,-8.9,-1.4,-0.7,12.6,7,0
13,2022,1,13,Vermont,4,Arkansas,1,-2,0.8,-5.4,0.1026,-8.1,-0.2,2.5,3.5,6.9,7.2,11.3,9.7,-8,1.2,-6.1,-1.6,5.8,5.3,4,0
14,2022,1,13,Akron,4,UCLA,1,3,10.3,-11.1,0.3731,-2.2,-1.6,-4.3,2.1,2.8,-1.5,-10.3,3,-2.8,-0.5,-0.4,-2.5,3.8,9.4,4,0
15,2022,1,13,Chattanooga,4,Illinois,-1,-3,5.2,-5.4,0.1576,0.3,-3.3,0.7,-2.4,0.7,-0.5,4.7,1.1,-2.2,-6.6,2.6,1.6,2.5,4,1,0
16,2022,1,13,South Dakota State,4,Providence,-2,-3,-3.4,-7.1,0.0734,-9.4,-4.8,2,0,6.5,3.8,3.3,5,-6.7,-4,-9.9,-4,-4.2,4.4,9,0
17,2022,1,12,New Mexico State,5,Connecticut,3,0,6.5,-2.7,0.1526,-2.6,0.2,-3.3,1.1,4.7,1.3,-4.8,4.1,-6.3,-3,2.3,4.5,-1.1,2.4,-7,1
18,2022,1,12,Indiana,5,Saint Mary's,-2,4,-0.2,-0.4,0.0035,1.3,2.7,-0.2,2.1,0.4,-3.1,-10.3,-6.2,1.2,3.6,1.2,1.8,-3.4,3.7,29,0
19,2022,1,12,UAB,5,Houston,2,4,6,-9.2,0.152,0.7,-4.4,0.8,0.3,4.4,-0.1,-0.8,3.6,4.5,-4,-4.2,-3.4,-4.8,6.3,14,0
20,2022,1,12,Richmond,5,Iowa,0,3,13.4,-1.7,0.2064,2.1,-0.7,-1.5,0.4,9.8,3,-0.5,2.7,0.4,0,3,-1.4,3,6.1,-4,1
21,2022,1,11,Notre Dame,6,Alabama,1,-2,4,1,0.0366,-2.5,0.3,4.3,2.7,13.4,6.7,5.9,12.3,4.3,-0.6,-7,1.4,6.2,0.1,-14,1
22,2022,1,11,Virginia Tech,6,Texas,-3,-2,-3.1,-4.4,0.0193,-5.1,-2.2,1.2,4.5,3.8,3.9,8.6,11.6,-1.6,-3.3,-7,-0.1,0.1,1.7,8,0
23,2022,1,11,Michigan,6,Colorado State,-2,7,-1.4,2,-0.0502,2.9,-0.4,-2,3.4,-9.3,1.1,1.5,-1.6,3.3,-0.3,1.7,-0.3,-0.8,4.1,-12,1
24,2022,1,11,Iowa State,6,LSU,1,2,2.7,-0.6,0.0413,-0.4,-3.3,0,0.8,5.5,2.7,4.9,2.2,-0.4,-3,-0.2,-1.6,2.5,-0.5,-5,1
25,2022,1,10,Davidson,7,Michigan State,2,-4,-4.8,-6,0.0299,-3.6,-1.9,4.4,-1.6,7.1,4.8,-2.5,0.3,-4.5,-0.5,-0.6,-2.6,3,0.8,1,0
26,2022,1,10,San Francisco,7,Murray State,-3,4,0.2,2.8,-0.0399,-0.2,1.1,-1,2.5,5.2,1.6,2.7,-7.6,-0.4,1.6,0,1.2,-2.8,1.9,5,0
